phase	order	beat
23.94	crescdecresc	105
42.84	crescdecresc	105
41.58	crescdecresc	105
6.93	crescdecresc	105
-6.3	crescdecresc	105
9.45	crescdecresc	105
5.04	crescdecresc	105
27	crescdecresc	90
-12.42	crescdecresc	90
10.26	crescdecresc	90
10.26	crescdecresc	90
14.58	crescdecresc	90
32.4	crescdecresc	90
24.84	crescdecresc	90
12.42	crescdecresc	90
14.58	crescdecresc	90
4.86	crescdecresc	90
38.7	crescdecresc	75
23.4	crescdecresc	75
27.9	crescdecresc	75
4.5	crescdecresc	75
-4.95	crescdecresc	75
15.75	crescdecresc	75
16.65	crescdecresc	75
15.75	crescdecresc	75
17.1	crescdecresc	75
-6.3	crescdecresc	75
27	crescdecresc	60
9.72	crescdecresc	60
-11.16	crescdecresc	60
-9.72	crescdecresc	60
-14.76	crescdecresc	60
-6.12	crescdecresc	60
4.68	crescdecresc	60
3.96	crescdecresc	60
2.88	crescdecresc	60
-2.16	crescdecresc	60
-8.1	crescdecresc	45
-2.7	crescdecresc	45
4.86	crescdecresc	45
34.56	crescdecresc	45
21.6	crescdecresc	45
33.48	crescdecresc	45
31.32	crescdecresc	45
36.72	crescdecresc	45
34.02	crescdecresc	45
-9.18	crescdecresc	45
21.6	crescdecresc	30
-14.94	crescdecresc	30
9.72	crescdecresc	30
-1.8	crescdecresc	30
-1.8	crescdecresc	30
-15.84	crescdecresc	30
22.14	crescdecresc	30
1.98	crescdecresc	30
12.42	crescdecresc	30
10.62	crescdecresc	30
-127.8	decresccresc	300
-106.2	decresccresc	300
180	decresccresc	300
153	decresccresc	300
117	decresccresc	300
145.8	decresccresc	300
59.4	decresccresc	300
55.8	decresccresc	300
21.6	decresccresc	300
14.4	decresccresc	300
147.06	decresccresc	285
85.5	decresccresc	285
76.95	decresccresc	285
44.46	decresccresc	285
29.07	decresccresc	285
13.68	decresccresc	285
-37.62	decresccresc	285
-18.81	decresccresc	285
17.1	decresccresc	285
27.36	decresccresc	285
-110.16	decresccresc	270
-127.98	decresccresc	270
199.26	decresccresc	270
29.07	decresccresc	255
18.36	decresccresc	255
16.83	decresccresc	255
15.3	decresccresc	255
-45.9	decresccresc	255
-30.6	decresccresc	255
-15.3	decresccresc	255
18.36	decresccresc	255
16.83	decresccresc	255
15.3	decresccresc	255
-14.4	decresccresc	240
-31.68	decresccresc	240
-8.64	decresccresc	240
11.52	decresccresc	240
28.8	decresccresc	240
47.52	decresccresc	240
40.32	decresccresc	240
14.4	decresccresc	240
21.6	decresccresc	240
15.84	decresccresc	240
14.85	decresccresc	225
-13.5	decresccresc	225
-16.2	decresccresc	225
-14.85	decresccresc	225
-24.3	decresccresc	225
-40.5	decresccresc	225
-21.6	decresccresc	225
-54	decresccresc	225
-43.2	decresccresc	225
130.95	decresccresc	225
54.18	decresccresc	210
37.8	decresccresc	210
39.06	decresccresc	210
81.9	decresccresc	210
56.7	decresccresc	210
73.08	decresccresc	210
40.32	decresccresc	210
-30.42	decresccresc	195
-62.01	decresccresc	195
185.76	decresccresc	180
176.04	decresccresc	180
140.4	decresccresc	180
100.44	decresccresc	180
138.24	decresccresc	180
201.96	decresccresc	180
29.7	decresccresc	165
-23.76	decresccresc	165
-15.84	decresccresc	165
-12.87	decresccresc	165
-38.61	decresccresc	165
-24.75	decresccresc	165
-44.55	decresccresc	165
-11.88	decresccresc	165
-24.75	decresccresc	165
-38.61	decresccresc	165
82.8	decresccresc	150
171	decresccresc	150
93.6	decresccresc	150
154.8	decresccresc	150
141.3	decresccresc	150
81.9	decresccresc	150
42.3	decresccresc	150
-15.3	decresccresc	150
-16.2	decresccresc	150
36	decresccresc	150
10.53	decresccresc	135
12.96	decresccresc	135
-17.82	decresccresc	135
10.53	decresccresc	135
17.82	decresccresc	135
12.96	decresccresc	135
11.34	decresccresc	135
26.73	decresccresc	135
18.63	decresccresc	135
10.53	decresccresc	135
30.96	decresccresc	120
38.88	decresccresc	120
18	decresccresc	120
-24.48	decresccresc	120
18.72	decresccresc	120
27.36	decresccresc	120
15.12	decresccresc	120
15.84	decresccresc	120
11.52	decresccresc	120
30.96	decresccresc	120
10.08	decresccresc	105
11.34	decresccresc	105
-15.75	decresccresc	105
21.42	decresccresc	105
11.97	decresccresc	105
-5.04	decresccresc	105
-14.49	decresccresc	105
10.08	decresccresc	105
-10.08	decresccresc	105
-9.45	decresccresc	105
7.02	decresccresc	90
13.5	decresccresc	90
5.4	decresccresc	90
24.3	decresccresc	90
-18.9	decresccresc	90
-12.96	decresccresc	90
-6.48	decresccresc	90
20.52	decresccresc	90
8.64	decresccresc	90
21.06	decresccresc	90
-42.75	decresccresc	75
-22.95	decresccresc	75
6.3	decresccresc	75
10.8	decresccresc	75
9	decresccresc	75
4.5	decresccresc	75
-7.2	decresccresc	75
-5.4	decresccresc	75
-13.95	decresccresc	75
11.25	decresccresc	75
11.16	decresccresc	60
12.96	decresccresc	60
7.92	decresccresc	60
33.48	decresccresc	60
7.92	decresccresc	60
-10.44	decresccresc	60
11.16	decresccresc	60
11.88	decresccresc	60
-14.04	decresccresc	60
-5.76	decresccresc	60
14.04	decresccresc	45
17.55	decresccresc	45
20.79	decresccresc	45
15.93	decresccresc	45
3.24	decresccresc	45
13.77	decresccresc	45
21.87	decresccresc	45
15.39	decresccresc	45
18.63	decresccresc	45
17.01	decresccresc	45
-9.18	decresccresc	30
42.66	decresccresc	30
24.66	decresccresc	30
19.08	decresccresc	30
-6.12	decresccresc	30
1.98	decresccresc	30
2.16	decresccresc	30
32.76	decresccresc	30
21.96	decresccresc	30
5.4	decresccresc	30
3.24	decresccresc	45
9.18	decresccresc	45
-6.21	decresccresc	45
3.51	decresccresc	45
12.42	decresccresc	45
9.72	decresccresc	45
-16.74	decresccresc	45
3.24	decresccresc	45
-19.44	decresccresc	45
3.24	decresccresc	45
3.6	decresccresc	60
5.4	decresccresc	60
-11.88	decresccresc	60
3.6	decresccresc	60
8.28	decresccresc	60
-12.96	decresccresc	60
-12.96	decresccresc	60
-9.36	decresccresc	60
4.32	decresccresc	60
3.6	decresccresc	60
2.7	decresccresc	75
-7.2	decresccresc	75
-5.85	decresccresc	75
2.7	decresccresc	75
4.95	decresccresc	75
12.15	decresccresc	75
-4.05	decresccresc	75
-4.95	decresccresc	75
18	decresccresc	75
-3.6	decresccresc	75
-14.04	decresccresc	90
-15.12	decresccresc	90
-17.28	decresccresc	90
14.04	decresccresc	90
4.32	decresccresc	90
-7.02	decresccresc	90
11.88	decresccresc	90
5.94	decresccresc	90
-15.66	decresccresc	90
-17.28	decresccresc	90
10.08	decresccresc	105
-8.19	decresccresc	105
56.7	decresccresc	105
10.71	decresccresc	105
-23.31	decresccresc	105
-13.86	decresccresc	105
-18.27	decresccresc	105
-6.93	decresccresc	105
10.08	decresccresc	105
18.27	decresccresc	105
-11.52	decresccresc	120
11.52	decresccresc	120
13.68	decresccresc	120
17.28	decresccresc	120
9.36	decresccresc	120
-18.72	decresccresc	120
30.24	decresccresc	120
48.24	decresccresc	120
32.4	decresccresc	120
7.92	decresccresc	120
59.13	decresccresc	135
74.52	decresccresc	135
42.93	decresccresc	135
8.1	decresccresc	135
-12.96	decresccresc	135
15.39	decresccresc	135
10.53	decresccresc	135
10.53	decresccresc	135
12.96	decresccresc	135
-27.54	decresccresc	135
-31.5	decresccresc	150
48.6	decresccresc	150
11.7	decresccresc	150
-14.4	decresccresc	150
-18	decresccresc	150
-18	decresccresc	150
-19.8	decresccresc	150
-21.6	decresccresc	150
-16.2	decresccresc	150
-28.8	decresccresc	150
-21.78	decresccresc	165
-20.79	decresccresc	165
55.44	decresccresc	165
23.76	decresccresc	165
13.86	decresccresc	165
27.72	decresccresc	165
21.78	decresccresc	165
29.7	decresccresc	165
9.9	decresccresc	165
12.87	decresccresc	165
30.24	decresccresc	180
25.92	decresccresc	180
32.4	decresccresc	180
12.96	decresccresc	180
-35.64	decresccresc	180
-17.28	decresccresc	180
19.44	decresccresc	180
17.28	decresccresc	180
17.28	decresccresc	180
30.24	decresccresc	180
-25.74	decresccresc	195
-35.1	decresccresc	195
-30.42	decresccresc	195
-28.08	decresccresc	195
-25.74	decresccresc	195
-30.42	decresccresc	195
-32.76	decresccresc	195
8.19	decresccresc	195
22.23	decresccresc	195
11.7	decresccresc	195
60.48	decresccresc	210
16.38	decresccresc	210
-15.12	decresccresc	210
-28.98	decresccresc	210
-69.3	decresccresc	210
-95.76	decresccresc	210
-131.04	decresccresc	210
-120.96	decresccresc	210
-90.72	decresccresc	210
-115.92	decresccresc	210
-81	decresccresc	225
-40.5	decresccresc	225
-41.85	decresccresc	225
-32.4	decresccresc	225
4.05	decresccresc	225
16.2	decresccresc	225
13.5	decresccresc	225
83.7	decresccresc	225
-24.3	decresccresc	225
-16.2	decresccresc	225
-123.84	decresccresc	240
-171.36	decresccresc	240
-108	decresccresc	240
-126.72	decresccresc	240
177.12	decresccresc	240
155.52	decresccresc	240
135.36	decresccresc	240
129.6	decresccresc	240
86.4	decresccresc	240
-17.28	decresccresc	240
56.61	decresccresc	255
68.04	decresccresc	255
24.48	decresccresc	255
45.9	decresccresc	255
-22.95	decresccresc	255
30.6	decresccresc	255
-27.54	decresccresc	255
-27.54	decresccresc	255
10.71	decresccresc	255
-15.3	decresccresc	255
89.1	decresccresc	270
55.08	decresccresc	270
